college_code,college_name,institute_type,choice_code,branch,stage,category,rank,percentile,round,academic_year
3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat (Un-Aided)",,314729310,,Stage-I,GOPEN GSC GNTA GNTC GOBC LOPEN LOBC,43581,,1,2024
3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat (Un-Aided)",,314761210,,Stage-I,GOPEN GST GOBC LOPEN,46249,,1,2024
3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat (Un-Aided)",,314791710,,Stage-I,GOPEN GSC GOBC LOPEN LOBC,41678,,1,2024
3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat (Un-Aided)",,314792110,,Stage-I,GOPEN GOBC LOPEN LOBC,38093,,1,2024
3148,"Mahavir Education Trusts Shah & Anchor Kutchhi Engineering College, Mumbai (Un-Aided Linguistic Minority - Gujarathi(Jain))",,314892810,,Stage-I,GOPEN LOPEN,27680,,1,2024
3154,"Saraswati Education Societys Saraswati College of Engineering,Kharghar Navi Mumbai (Un-Aided)",,315460210,,Stage-I,GOPEN LOPEN EWS,48485,,1,2024
3175,"M.G.M.s College of Engineering and Technology, Kamothe, Navi Mumbai (Un-Aided)",,317524610,,Stage-I,GOPEN GSC GNTA GNTB GOBC GSEBC LOPEN LSC LNTC LNTD LOBC LSEBC EWS,13069,,1,2024
3175,"M.G.M.s College of Engineering and Technology, Kamothe, Navi Mumbai (Un-Aided)",,317550710,,Stage-I,GOPEN GSC GOBC LOPEN,35351,,1,2024
3175,"M.G.M.s College of Engineering and Technology, Kamothe, Navi Mumbai (Un-Aided)",,317561210,,Stage-I,GOPEN GSC GOBC LOPEN,47522,,1,2024
3175,"M.G.M.s College of Engineering and Technology, Kamothe, Navi Mumbai (Un-Aided)",,317591110,,Stage-I,GOPEN GSC GNTB GNTC GNTD GOBC GSEBC LOPEN LSC LNTA LOBC LSEBC EWS,25117,,1,2024
3175,"M.G.M.s College of Engineering and Technology, Kamothe, Navi Mumbai (Un-Aided)",,317591210,,Stage-I,GOPEN GSC GNTC GOBC GSEBC LOPEN LNTB LNTD LOBC LSEBC,15068,,1,2024
3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai (Un-Aided Autonomous Linguistic Minority - Hindi)",,317625910,,Stage-I,GOPEN LOPEN MI,21707,,1,2024
3184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai (Un-Aided Religious Minority - Christian)",,318461210,,Stage-I,GOPEN LOPEN MI,14813,,1,2024
3187,"N.Y.S.S.s Datta Meghe College of Engineering, Airoli, Navi Mumbai (Un-Aided)",,318737210,,Stage-I,GOPEN GSC GST GNTA GOBC GSEBC LOPEN LSC LNTD LOBC EWS,19376,,1,2024
3190,"Terna Engineering College, Nerul, Navi Mumbai (Un-Aided)",,319062410,,Stage-I,GOPEN GSC GOBC GSEBC LOPEN LSC,32342,,1,2024
3192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai (Un-Aided)",,319261210,,Stage-I,GOPEN GSC GOBC LOPEN,46850,,1,2024
3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai (Un-Aided)",,319324510,,Stage-I,GOPEN GSC GNTA GNTB GNTC GOBC GSEBC LOPEN LSC LNTD LOBC EWS,18882,,1,2024
3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai (Un-Aided)",,319350710,,Stage-I,GOPEN GSC GNTA GNTC GNTD GOBC GSEBC LOPEN LSC LOBC PWD-O EWS,48625,,1,2024
3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai (Un-Aided)",,319361210,,Stage-I,GOPEN GSC GNTD GOBC GSEBC LOPEN EWS,40906,,1,2024
3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai (Un-Aided)",,319392110,,Stage-I,GOPEN GSC GOBC GSEBC LOPEN LSC LNTA LOBC,33380,,1,2024
3194,"Vidyavardhinis College of Engineering and Technology, Vasai (Un-Aided)",,319437210,,Stage-I,GOPEN GOBC LOPEN LOBC EWS,45937,,1,2024
3196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai (Un-Aided Linguistic Minority - Hindi)",,319661210,,Stage-I,GOPEN LOPEN MI,40724,,1,2024
3198,"Konkan Gyanpeeth College of Engineering, Karjat (Un-Aided)",,319824510,,Stage-I,GOPEN GSC GNTA GNTD GOBC GSEBC LOPEN LSC LST LOBC,33191,,1,2024
3198,"Konkan Gyanpeeth College of Engineering, Karjat (Un-Aided)",,319861210,,Stage-I,GOPEN LOPEN,48230,,1,2024
3198,"Konkan Gyanpeeth College of Engineering, Karjat (Un-Aided)",,319899510,,Stage-I,GOPEN GSC GOBC GSEBC LOPEN LSC,43244,,1,2024
3200,"Hope Foundation and research centers Finolex Academy of Management and Technology, Ratnagiri (Un-Aided)",,320050710,,Stage-I,GOPEN GNTB LOPEN,47283,,1,2024
3201,"Rizvi Education Societys Rizvi College of Engineering, Bandra,Mumbai (Un-Aided Religious Minority - Muslim)",,320161210,,Stage-I,GOPEN LOPEN MI,39284,,1,2024
3202,Rajendra Mane College of Engineering & Technology Ambav Deorukh (Un-Aided),,320261210,,Stage-I,GOPEN GSC GOBC LOPEN,46718,,1,2024
3202,Rajendra Mane College of Engineering & Technology Ambav Deorukh (Un-Aided),,320290010,,Stage-I,GOPEN GOBC LOPEN,46747,,1,2024
3203,"Atharva College of Engineering,Malad(West),Mumbai (Un-Aided)",,320337210,,Stage-I,GOPEN GSC GNTB GOBC GSEBC LOPEN LOBC,37341,,1,2024
3204,"St. Francis Institute of Technology,Borivali, Mumbai (Un-Aided Religious Minority - Christian)",,320437210,,Stage-I,GOPEN LOPEN MI,30134,,1,2024
3204,"St. Francis Institute of Technology,Borivali, Mumbai (Un-Aided Religious Minority - Christian)",,320461210,,Stage-I,GOPEN LOPEN MI,28204,,1,2024
3206,"S.S.P.M.s College of Engineering, Kankavli (Un-Aided)",,320624510,,Stage-I,GOPEN GOBC LOPEN LSC LST LNTC LOBC LSEBC EWS,32136,,1,2024
3206,"S.S.P.M.s College of Engineering, Kankavli (Un-Aided)",,320629310,,Stage-I,GOPEN GSC GNTC GOBC GSEBC LOPEN EWS,28789,,1,2024
3207,"Mahatma Education Societys Pillai College of Engineering, New Panvel (Un-Aided Autonomous Linguistic Minority - Malyalam)",,320760210,,Stage-I,GOPEN LOPEN MI,35900,,1,2024
3207,"Mahatma Education Societys Pillai College of Engineering, New Panvel (Un-Aided Autonomous Linguistic Minority - Malyalam)",,320761210,,Stage-I,GOPEN LOPEN,15811,,1,2024
3208,"Don Bosco Institute of Technology, Mumbai (Un-Aided Religious Minority - Christian( Roman Catholics))",,320861210,,Stage-I,GOPEN LOPEN MI,16002,,1,2024
3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai (Un-Aided Linguistic Minority - Tamil)",,321161210,,Stage-I,GOPEN LOPEN,27893,,1,2024
3215,"Bhartiya Vidya Bhavans Sardar Patel Institute of Technology , Andheri, Mumbai (Un-Aided Autonomous)",,321537210,,Stage-I,GOPEN GSC GOBC GSEBC LOPEN LSC LST LNTB LNTD LOBC LSEBC PWDR-SC EWS,14571,,1,2024
3216,"Gharda Foundations Gharda Institute of Technology,Khed, Ratnagiri (Un-Aided)",,321619110,,Stage-I,GOPEN GNTB LOPEN,47028,,1,2024
3216,"Gharda Foundations Gharda Institute of Technology,Khed, Ratnagiri (Un-Aided)",,321650710,,Stage-I,GOPEN GNTB GNTC GOBC LOPEN,44931,,1,2024
3216,"Gharda Foundations Gharda Institute of Technology,Khed, Ratnagiri (Un-Aided)",,321661210,,Stage-I,GOPEN GOBC LOPEN,46025,,1,2024
3217,"Vighnaharata Trusts Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane (Un-Aided)",,321761210,,Stage-I,GOPEN GSC GST GOBC LOPEN,40958,,1,2024
3217,"Vighnaharata Trusts Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane (Un-Aided)",,321791610,,Stage-I,GOPEN LOPEN,48478,,1,2024
3218,"Aldel Education Trusts St. John College of Engineering & Management, Vevoor, Palghar (Un-Aided Religious Minority - Christian)",,321861210,,Stage-I,GOPEN LOPEN,35780,,1,2024
3218,"Aldel Education Trusts St. John College of Engineering & Management, Vevoor, Palghar (Un-Aided Religious Minority - Christian)",,321890010,,Stage-I,GOPEN LOPEN,37477,,1,2024
3219,"Koti Vidya Charitable Trusts Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur (Un-Aided Linguistic Minority - Hindi)",,321961210,,Stage-I,GOPEN LOPEN,43088,,1,2024
3220,Yadavrao Tasgaonkar College of Engineering & Management (Un-Aided),,322024510,,Stage-I,GOPEN GSC GOBC GSEBC LOPEN LOBC EWS,34790,,1,2024
3220,Yadavrao Tasgaonkar College of Engineering & Management (Un-Aided),,322037210,,Stage-I,GOPEN LOPEN,46475,,1,2024
3220,Yadavrao Tasgaonkar College of Engineering & Management (Un-Aided),,322092110,,Stage-I,GOPEN GSC GOBC LOPEN,40295,,1,2024
3221,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon (Un-Aided)",,322119110,,Stage-I,GOPEN GOBC LOPEN,48050,,1,2024
3221,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon (Un-Aided)",,322124510,,Stage-I,GOPEN GSC GNTB GOBC LOPEN LST LOBC EWS,30616,,1,2024
3221,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon (Un-Aided)",,322129310,,Stage-I,GOPEN GSC GOBC LOPEN EWS,46126,,1,2024
3221,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon (Un-Aided)",,322191110,,Stage-I,GOPEN GSC GNTA GOBC GSEBC LOPEN LSC LNTB LOBC PWD-O EWS,29587,,1,2024
3222,"Haji Jamaluddin Thim Trusts Theem College of Engineering, At. Villege Betegaon, Boisar (Un-Aided Religious Minority - Muslim)",,322291110,,Stage-I,GOPEN LOPEN MI,28730,,1,2024
3223,"Mahatma Education Societys Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad (Un-Aided Linguistic Minority - Malyalam)",,322361210,,Stage-I,GOPEN LOPEN,40848,,1,2024
3223,"Mahatma Education Societys Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad (Un-Aided Linguistic Minority - Malyalam)",,322392610,,Stage-I,GOPEN LOPEN,41058,,1,2024
3224,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat (Un-Aided)",,322492010,,Stage-I,GOPEN GSC LOPEN EWS,44041,,1,2024
3277,"Shree Shankar Narayan Education Trust,Pravin Patil College of Diploma Engg. & Technology, Bhayinder (E) Western Rly (Un-Aided)",,327724610,,Stage-I,GOPEN GSC GNTB GOBC GSEBC LOPEN LSEBC EWS,47548,,1,2024
3277,"Shree Shankar Narayan Education Trust,Pravin Patil College of Diploma Engg. & Technology, Bhayinder (E) Western Rly (Un-Aided)",,327735610,,Stage-I,GOPEN GSC GOBC LOPEN,46634,,1,2024
3277,"Shree Shankar Narayan Education Trust,Pravin Patil College of Diploma Engg. & Technology, Bhayinder (E) Western Rly (Un-Aided)",,327761510,,Stage-I,GOPEN GSC GOBC LOPEN,48404,,1,2024
3277,"Shree Shankar Narayan Education Trust,Pravin Patil College of Diploma Engg. & Technology, Bhayinder (E) Western Rly (Un-Aided)",,327793410,,Stage-I,GOPEN GSC GST LOPEN PWD-O EWS,39619,,1,2024
3277,"Shree Shankar Narayan Education Trust,Pravin Patil College of Diploma Engg. & Technology, Bhayinder (E) Western Rly (Un-Aided)",,327793510,,Stage-I,GOPEN LOPEN EWS,46886,,1,2024
3351,"Bharat College of Engineering, Kanhor, Badlapur(W) (Un-Aided)",,335119110,,Stage-I,GOPEN GSC GNTC GOBC LOPEN LNTB PWD-O,46455,,1,2024
3351,"Bharat College of Engineering, Kanhor, Badlapur(W) (Un-Aided)",,335161210,,Stage-I,GOPEN GNTA GOBC LOPEN,48432,,1,2024
3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai (Un-Aided Linguistic Minority - Hindi)",,342337210,,Stage-I,GOPEN LOPEN MI,33837,,1,2024
3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai (Un-Aided Linguistic Minority - Hindi)",,342361210,,Stage-I,GOPEN LOPEN MI,46498,,1,2024
3436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath. (Un-Aided)",,343624510,,Stage-I,GOPEN GSC GNTB GOBC GSEBC LOPEN LSC LOBC,41571,,1,2024
3436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath. (Un-Aided)",,343691110,,Stage-I,GOPEN GSC LOPEN,44587,,1,2024
3440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg. (Un-Aided)",,344019110,,Stage-I,GOPEN GSC GOBC LOPEN EWS,36139,,1,2024
3440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg. (Un-Aided)",,344061210,,Stage-I,GOPEN LOPEN,47310,,1,2024
3445,"Vishvatmak Jangli Maharaj Ashram Trusts Vishvatmak Om Gurudev College of Engineering, Mohili-Aghai, Shahpur. (Un-Aided)",,344524510,,Stage-I,GOPEN GSC GOBC LOPEN LSC LOBC EWS,48515,,1,2024
3447,"G.M.Vedak Institute of Technology, Tala, Raigad. (Un-Aided)",,344719110,,Stage-I,GOPEN GOBC LOPEN,47719,,1,2024
3460,"Universal College of Engineering,Kaman Dist. Palghar (Un-Aided Linguistic Minority - Gujarathi)",,346092410,,Stage-I,GOPEN LOPEN,23215,,1,2024
3462,"VPMs Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri. (Un-Aided)",,346219110,,Stage-I,GOPEN GSC GNTC GOBC LOPEN,22977,,1,2024
3462,"VPMs Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri. (Un-Aided)",,346224510,,Stage-I,GOPEN LOPEN,44611,,1,2024
3465,"Ideal Institute of Technology, Wada, Dist.Thane (Un-Aided)",,346529310,,Stage-I,GOPEN GSC GOBC LOPEN,47017,,1,2024
