college_code,college_name,institute_type,choice_code,branch,stage,category,rank,percentile,round,academic_year
3216,"Gharda Foundations Gharda Institute of Technology,khed, Ratnagiri (un-aided)",,321650710,,Stage-I,GOPENGNTBGNTCGOBCLOPEN,44931,,1,2024
3216,"Gharda Foundations Gharda Institute of Technology,khed, Ratnagiri (un-aided)",,321661210,,Stage-I,GOPENGOBCLOPEN,46025,,1,2024
3217,"Vighnaharata Trusts Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane (un-aided)",,321761210,,Stage-I,GOPENGSCGSTGOBCLOPEN,40958,,1,2024
3217,"Vighnaharata Trusts Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane (un-aided)",,321791610,,Stage-I,GOPENLOPEN,48478,,1,2024
3218,"Aldel Education Trusts St. John College of Engineering & Management, Vevoor, Palghar (un-aided Religious Minority - Christian)",,321861210,,Stage-I,GOPENLOPEN,35780,,1,2024
3218,"Aldel Education Trusts St. John College of Engineering & Management, Vevoor, Palghar (un-aided Religious Minority - Christian)",,321890010,,Stage-I,GOPENLOPEN,37477,,1,2024
3219,"Koti Vidya Charitable Trusts Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur (un-aided Linguistic Minority - Hindi)",,321961210,,Stage-I,GOPENLOPEN,43088,,1,2024
3220,Yadavrao Tasgaonkar College of Engineering & Management (un-aided),,322024510,,Stage-I,GOPENGSCGOBCGSEBCLOPENLOBCEWS,34790,,1,2024
3220,Yadavrao Tasgaonkar College of Engineering & Management (un-aided),,322037210,,Stage-I,GOPENLOPEN,46475,,1,2024
3220,Yadavrao Tasgaonkar College of Engineering & Management (un-aided),,322092110,,Stage-I,GOPENGSCGOBCLOPEN,40295,,1,2024
3221,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon (un-aided)",,322119110,,Stage-I,GOPENGOBCLOPEN,48050,,1,2024
3221,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon (un-aided)",,322124510,,Stage-I,GOPENGSCGNTBGOBCLOPENLSTLOBCEWS,30616,,1,2024
3221,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon (un-aided)",,322129310,,Stage-I,GOPENGSCGOBCLOPENEWS,46126,,1,2024
3221,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon (un-aided)",,322191110,,Stage-I,GOPENGSCGNTAGOBCGSEBCLOPENLSCLNTBLOBCPWDOEWS,29587,,1,2024
3222,"Haji Jamaluddin Thim Trusts Theem College of Engineering, At. Villege Betegaon, Boisar (un-aided Religious Minority - Muslim)",,322291110,,Stage-I,GOPENLOPENMI,28730,,1,2024
3223,"Mahatma Education Societys Pillai Hoc College of Engineering & Technology, Tal. Khalapur. Dist. Raigad (un-aided Linguistic Minority - Malyalam)",,322361210,,Stage-I,GOPENLOPEN,40848,,1,2024
3223,"Mahatma Education Societys Pillai Hoc College of Engineering & Technology, Tal. Khalapur. Dist. Raigad (un-aided Linguistic Minority - Malyalam)",,322392610,,Stage-I,GOPENLOPEN,41058,,1,2024
3224,"Leela Education Society, G.v. Acharya Institute of Engineering and Technology, Shelu, Karjat (un-aided)",,322492010,,Stage-I,GOPENGSCLOPENEWS,44041,,1,2024
3277,"Shree Shankar Narayan Education Trust,pravin Patil College of Diploma Engg. & Technology, Bhayinder (e) Western Rly (un-aided)",,327724610,,Stage-I,GOPENGSCGNTBGOBCGSEBCLOPENLSEBCEWS,47548,,1,2024
3277,"Shree Shankar Narayan Education Trust,pravin Patil College of Diploma Engg. & Technology, Bhayinder (e) Western Rly (un-aided)",,327735610,,Stage-I,GOPENGSCGOBCLOPEN,46634,,1,2024
3277,"Shree Shankar Narayan Education Trust,pravin Patil College of Diploma Engg. & Technology, Bhayinder (e) Western Rly (un-aided)",,327761510,,Stage-I,GOPENGSCGOBCLOPEN,48404,,1,2024
3277,"Shree Shankar Narayan Education Trust,pravin Patil College of Diploma Engg. & Technology, Bhayinder (e) Western Rly (un-aided)",,327793410,,Stage-I,GOPENGSCGSTLOPENPWDOEWS,39619,,1,2024
3277,"Shree Shankar Narayan Education Trust,pravin Patil College of Diploma Engg. & Technology, Bhayinder (e) Western Rly (un-aided)",,327793510,,Stage-I,GOPENLOPENEWS,46886,,1,2024
3351,"Bharat College of Engineering, Kanhor, Badlapur(w) (un-aided)",,335119110,,Stage-I,GOPENGSCGNTCGOBCLOPENLNTBPWDO,46455,,1,2024
3351,"Bharat College of Engineering, Kanhor, Badlapur(w) (un-aided)",,335161210,,Stage-I,GOPENGNTAGOBCLOPEN,48432,,1,2024
3423,"Shree L.r. Tiwari College of Engineering, Mira Road, Mumbai (un-aided Linguistic Minority - Hindi)",,342337210,,Stage-I,GOPENLOPENMI,33837,,1,2024
3423,"Shree L.r. Tiwari College of Engineering, Mira Road, Mumbai (un-aided Linguistic Minority - Hindi)",,342361210,,Stage-I,GOPENLOPENMI,46498,,1,2024
3436,"B.r. Harne College of Engineering & Technology, Karav, Tal-ambernath. (un-aided)",,343624510,,Stage-I,GOPENGSCGNTBGOBCGSEBCLOPENLSCLOBC,41571,,1,2024
3436,"B.r. Harne College of Engineering & Technology, Karav, Tal-ambernath. (un-aided)",,343691110,,Stage-I,GOPENGSCLOPEN,44587,,1,2024
3440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg. (un-aided)",,344019110,,Stage-I,GOPENGSCGOBCLOPENEWS,36139,,1,2024
3440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg. (un-aided)",,344061210,,Stage-I,GOPENLOPEN,47310,,1,2024
3445,"Vishvatmak Jangli Maharaj Ashram Trusts Vishvatmak Om Gurudev College of Engineering, Mohili-aghai, Shahpur. (un-aided)",,344524510,,Stage-I,GOPENGSCGOBCLOPENLSCLOBCEWS,48515,,1,2024
3447,"G.m.vedak Institute of Technology, Tala, Raigad. (un-aided)",,344719110,,Stage-I,GOPENGOBCLOPEN,47719,,1,2024
3460,"Universal College of Engineering,kaman Dist. Palghar (un-aided Linguistic Minority - Gujarathi)",,346092410,,Stage-I,GOPENLOPEN,23215,,1,2024
3462,"Vpms Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri. (un-aided)",,346219110,,Stage-I,GOPENGSCGNTCGOBCLOPEN,22977,,1,2024
3462,"Vpms Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri. (un-aided)",,346224510,,Stage-I,GOPENLOPEN,44611,,1,2024
3465,"Ideal Institute of Technology, Wada, Dist.thane (un-aided)",,346529310,,Stage-I,GOPENGSCGOBCLOPEN,47017,,1,2024
3467,"Vishwaniketans Institute of Management Entrepreneurship and Engineering Technology(i Meet), Khalapur Dist Raigad (un-aided)",,346729310,,Stage-I,GOPENGSCGSTGNTAGNTBGNTCGOBCLOPENLOBCEWS,39732,,1,2024
3467,"Vishwaniketans Institute of Management Entrepreneurship and Engineering Technology(i Meet), Khalapur Dist Raigad (un-aided)",,346737210,,Stage-I,GOPENGOBCLOPENLSEBC,45414,,1,2024
3467,"Vishwaniketans Institute of Management Entrepreneurship and Engineering Technology(i Meet), Khalapur Dist Raigad (un-aided)",,346761210,,Stage-I,GOPENGSTGNTBGOBCLOPEN,48831,,1,2024
3470,"Yashwantrao Bhonsale Polytechnic, Charathe, Sawantwadi (un-aided)",,347029310,,Stage-I,GOPENLOPENEWS,44714,,1,2024
3470,"Yashwantrao Bhonsale Polytechnic, Charathe, Sawantwadi (un-aided)",,347061210,,Stage-I,GOPENGOBCLOPEN,47125,,1,2024
3471,"New Horizon Institute of Technology & Management, Thane (un-aided)",,347161210,,Stage-I,GOPENGSCLOPEN,47913,,1,2024
